Journey_ID,Customer_ID,Product_ID,Visit_Date,Visit_Time,Stage,Action,Duration_Seconds
J952298,C101205,P1009,13-09-2025,04:26:50,Checkout,drop off,110
J508043,C101312,P1003,27-07-2024,14:21:07,Checkout,drop off,296
J713829,C102523,P1005,29-03-2023,04:08:37,Checkout,drop off,52
J312526,C100123,P1016,23-04-2023,06:31:46,Checkout,purchase,275
J277246,C102324,P1011,02-06-2023,20:23:26,Checkout,drop off,178
J939114,C101362,P1012,03-09-2022,20:32:21,Product Page,view,278
J979328,C101529,P1021,30-03-2022,12:46:00,Checkout,drop off,324
J145117,C102827,P1004,21-06-2024,19:13:02,Checkout,drop off,118
J754314,C100471,P1012,10-08-2022,23:27:21,Product Page,view,312
J132018,C100781,P1012,24-04-2023,18:40:00,Homepage,view,400
J160211,C101763,P1012,17-10-2023,02:07:40,Homepage,view,158
J635437,C101669,P1005,20-12-2023,21:19:10,Checkout,purchase,130
J857566,C101120,P1016,28-06-2022,11:29:19,Checkout,drop off,47
J253689,C102004,P1025,26-01-2024,20:47:18,Checkout,drop off,79
J148847,C100113,P1020,05-01-2024,00:36:11,Checkout,purchase,267
J539476,C100983,P1019,12-12-2022,20:01:42,Checkout,purchase,323
J566208,C102876,P1021,19-08-2024,16:43:41,Checkout,drop off,260
J915809,C101934,P1009,02-05-2024,09:51:10,Product Page,view,179
J835037,C100682,P1013,02-10-2023,21:45:19,Checkout,drop off,183
J314933,C102694,P1012,23-08-2025,21:36:37,Checkout,drop off,205
J566786,C102803,P1010,11-06-2022,16:14:05,Product Page,view,177
J422840,C100635,P1018,11-07-2025,10:40:16,Product Page,view,65
J580795,C102000,P1002,12-02-2023,05:33:06,Homepage,view,60
J961652,C102260,P1018,28-08-2023,23:08:09,Checkout,drop off,328
J265444,C102181,P1019,04-03-2025,21:07:58,Checkout,drop off,176
J692524,C101113,P1023,28-12-2022,02:01:03,Homepage,view,104
J433596,C101190,P1013,15-05-2022,12:54:49,Checkout,drop off,297
J381575,C102932,P1025,29-12-2024,05:13:21,Product Page,view,51
J484484,C101165,P1006,14-12-2024,14:15:16,Homepage,view,225
J240243,C101482,P1010,04-07-2024,04:38:05,Checkout,drop off,139
J199546,C101274,P1004,14-10-2022,04:06:40,Homepage,view,98
J463645,C101855,P1001,07-03-2024,07:09:37,Product Page,view,76
J167552,C100876,P1005,06-10-2022,06:58:41,Checkout,drop off,253
J517204,C100272,P1002,05-11-2022,03:14:51,Product Page,view,114
J182042,C102286,P1017,05-01-2022,22:48:52,Checkout,drop off,84
J678120,C101672,P1007,26-04-2025,21:29:09,Checkout,drop off,353
J166626,C100723,P1004,15-08-2024,06:58:49,Product Page,view,87
J408680,C101532,P1023,30-08-2022,04:01:59,Homepage,view,51
J719256,C101311,P1006,09-02-2022,07:06:50,Homepage,view,61
J648855,C102047,P1025,03-11-2023,19:50:48,Checkout,drop off,276
J654844,C100001,P1022,18-06-2023,10:52:56,Product Page,view,243
J634450,C100014,P1001,04-08-2023,14:35:25,Homepage,view,81
J122265,C100152,P1008,01-04-2022,22:23:20,Product Page,view,293
J849186,C101827,P1025,10-09-2023,03:32:59,Checkout,drop off,329
J904851,C100988,P1002,30-06-2024,02:04:34,Product Page,view,376
J516854,C102864,P1012,21-11-2022,08:54:17,Checkout,purchase,213
J601532,C102083,P1016,10-01-2022,22:08:42,Homepage,view,227
J777388,C102780,P1022,21-03-2025,10:51:40,Homepage,view,95
J181871,C102972,P1001,15-06-2022,06:30:32,Homepage,view,387
J255930,C102405,P1005,08-06-2023,15:57:30,Checkout,drop off,246
J773473,C100326,P1006,02-01-2025,01:32:11,Homepage,view,398
J648283,C102169,P1020,07-06-2024,01:54:57,Homepage,view,292
J615462,C100198,P1014,25-04-2025,04:26:33,Product Page,view,83
J532395,C101511,P1025,22-01-2022,23:55:42,Checkout,drop off,381
J665704,C102442,P1024,08-10-2022,13:44:35,Product Page,view,251
J354380,C101461,P1023,26-08-2025,00:41:23,Product Page,view,223
J638667,C100617,P1022,26-06-2024,21:11:43,Checkout,drop off,366
J286340,C102047,P1008,15-10-2023,12:17:30,Product Page,view,343
J221247,C100758,P1002,31-07-2023,08:49:12,Homepage,view,223
J175948,C100167,P1009,10-11-2022,21:20:29,Checkout,drop off,287
J604981,C101947,P1007,30-04-2023,20:28:19,Checkout,drop off,109
J261446,C102154,P1013,03-11-2023,19:58:33,Homepage,view,127
J325635,C102292,P1003,13-07-2023,13:45:18,Checkout,drop off,388
J225818,C100409,P1011,28-10-2024,16:05:25,Product Page,view,120
J999714,C102762,P1021,30-03-2024,03:15:44,Checkout,drop off,97
J690371,C101844,P1002,26-07-2022,05:16:20,Checkout,drop off,285
J668385,C102479,P1018,21-04-2023,22:22:09,Checkout,drop off,260
J639657,C102809,P1003,23-01-2025,10:26:16,Product Page,view,153
J599252,C102262,P1001,14-07-2022,12:09:32,Homepage,view,303
J833424,C102205,P1012,08-09-2023,16:27:54,Checkout,drop off,150
J498448,C100091,P1005,23-06-2025,11:26:57,Checkout,drop off,176
J392271,C100450,P1017,01-08-2024,10:38:22,Checkout,drop off,193
J545497,C102857,P1010,21-12-2024,16:31:38,Product Page,view,189
J188813,C101510,P1011,10-11-2025,03:12:37,Checkout,drop off,113
J155764,C100136,P1016,07-05-2024,06:50:38,Homepage,view,199
J472032,C100643,P1013,15-05-2022,23:01:41,Product Page,view,353
J926401,C101854,P1009,26-08-2024,17:17:40,Homepage,view,287
J971920,C101634,P1013,30-06-2023,08:18:12,Product Page,view,310
J366395,C101637,P1007,01-02-2023,02:15:42,Homepage,view,314
J866325,C101325,P1008,07-04-2024,11:11:21,Product Page,view,208
J327062,C102576,P1021,07-03-2022,11:27:20,Product Page,view,174
J412850,C102029,P1011,15-08-2025,09:12:51,Homepage,view,135
J765483,C102642,P1012,29-06-2023,02:58:33,Product Page,view,237
J407049,C100919,P1024,08-12-2023,21:40:23,Checkout,drop off,380
J861121,C100322,P1018,29-01-2023,08:00:10,Product Page,view,251
J299923,C100805,P1010,13-06-2023,17:49:24,Homepage,view,250
J563056,C102595,P1019,28-04-2024,17:18:36,Product Page,view,52
J830129,C102273,P1021,17-11-2024,04:49:52,Product Page,view,332
J371790,C101987,P1009,05-05-2022,01:03:45,Checkout,drop off,48
J582492,C101607,P1013,26-02-2024,12:38:57,Checkout,drop off,83
J163724,C100421,P1004,31-01-2024,06:51:10,Product Page,view,339
J704349,C102647,P1010,08-12-2025,23:16:29,Homepage,view,396
J143786,C101420,P1016,05-02-2024,23:38:39,Checkout,drop off,316
J715309,C100457,P1009,02-11-2022,15:23:20,Checkout,drop off,304
J757480,C100187,P1016,20-11-2023,15:36:52,Product Page,view,160
J481439,C101638,P1004,04-12-2022,08:10:59,Homepage,view,359
J372103,C101393,P1005,21-03-2022,17:12:06,Product Page,view,61
J899090,C102034,P1009,17-01-2023,21:04:19,Product Page,view,180
J167494,C101574,P1022,23-04-2025,16:00:18,Checkout,drop off,198
J476679,C100035,P1003,21-03-2025,23:03:28,Homepage,view,105
J743808,C100338,P1025,03-03-2025,19:03:59,Checkout,purchase,362
J843673,C101386,P1005,29-06-2025,06:23:33,Checkout,drop off,281
J637462,C102355,P1010,30-05-2023,15:13:07,Checkout,drop off,96
J307808,C101590,P1025,06-01-2024,04:56:51,Product Page,view,119
J118277,C102651,P1024,13-06-2025,00:38:52,Homepage,view,33
J657215,C101942,P1018,30-08-2024,11:40:30,Checkout,drop off,145
J616234,C101780,P1010,27-05-2024,21:30:26,Checkout,drop off,140
J354449,C100091,P1005,01-12-2023,18:52:03,Product Page,view,374
J438827,C100173,P1018,27-09-2025,12:14:57,Product Page,view,234
J988752,C101652,P1013,14-12-2025,01:07:07,Homepage,view,107
J494892,C101142,P1013,07-09-2024,03:13:11,Homepage,view,394
J820097,C102404,P1001,20-03-2023,06:19:27,Product Page,view,54
J162845,C101739,P1013,13-09-2025,23:53:25,Product Page,view,53
J592791,C101610,P1002,10-05-2023,13:00:03,Checkout,drop off,200
J394764,C100179,P1010,10-09-2025,05:52:14,Checkout,drop off,141
J901085,C102423,P1019,15-02-2023,07:58:17,Product Page,view,52
J863128,C102332,P1003,05-08-2023,14:59:17,Checkout,purchase,158
J944169,C100910,P1020,30-12-2023,21:38:22,Product Page,view,150
J469271,C100668,P1023,01-12-2022,15:53:54,Product Page,view,295
J939320,C101086,P1002,26-06-2024,22:52:37,Product Page,view,75
J973377,C100669,P1001,06-06-2025,18:26:57,Checkout,drop off,179
J543591,C102201,P1022,21-12-2025,23:04:21,Checkout,drop off,71
J650884,C100514,P1005,10-03-2024,16:07:03,Homepage,view,106
J451179,C102393,P1020,18-02-2025,20:33:02,Homepage,view,49
J480792,C101323,P1015,20-08-2025,09:25:24,Product Page,view,289
J391407,C101518,P1016,03-05-2023,02:52:34,Product Page,view,48
J620303,C102700,P1017,29-07-2022,19:24:35,Product Page,view,276
J872888,C102010,P1004,13-03-2023,02:08:22,Homepage,view,239
J635908,C101561,P1018,14-02-2025,22:24:24,Checkout,drop off,221
J556965,C101810,P1012,22-05-2024,18:36:42,Homepage,view,279
J886692,C101860,P1002,13-04-2022,18:04:31,Product Page,view,118
J134449,C101794,P1018,10-11-2024,07:51:17,Homepage,view,317
J952039,C100876,P1021,27-11-2022,16:29:51,Checkout,purchase,115
J365483,C100022,P1018,13-05-2024,19:47:06,Product Page,view,145
J580043,C100603,P1010,28-09-2022,07:16:47,Checkout,drop off,244
J607544,C100883,P1023,28-10-2023,04:46:06,Checkout,drop off,380
J602085,C102892,P1010,01-10-2025,05:13:44,Checkout,drop off,160
J605184,C100273,P1024,26-08-2024,18:53:26,Product Page,view,37
J934663,C102467,P1002,23-05-2022,10:53:06,Checkout,purchase,284
J796519,C101880,P1024,10-04-2023,11:55:07,Product Page,view,96
J550725,C101291,P1003,15-08-2022,13:34:37,Product Page,view,51
J235195,C100159,P1015,31-12-2025,03:10:56,Homepage,view,371
J844055,C102534,P1003,14-06-2024,13:58:12,Homepage,view,94
J201946,C101588,P1017,19-12-2022,22:41:48,Homepage,view,275
J134776,C100177,P1012,11-04-2025,06:11:03,Checkout,purchase,214
J811899,C101603,P1022,04-06-2025,02:20:06,Homepage,view,60
J312763,C101621,P1021,21-02-2024,10:20:23,Product Page,view,120
J296973,C101335,P1019,30-07-2023,11:34:39,Product Page,view,201
J215772,C100956,P1005,20-03-2024,07:35:34,Checkout,drop off,247
J509321,C101530,P1006,02-10-2022,18:00:45,Homepage,view,181
J748274,C101763,P1013,18-05-2024,23:16:07,Homepage,view,30
J971285,C102697,P1019,19-08-2025,02:00:09,Homepage,view,66
J569837,C101623,P1004,02-07-2023,03:22:14,Homepage,view,206
J478404,C101219,P1004,26-03-2022,11:44:27,Product Page,view,152
J803002,C101601,P1002,15-11-2025,04:21:28,Product Page,view,316
J318645,C100238,P1009,01-05-2025,01:19:48,Product Page,view,390
J395239,C101047,P1005,01-06-2023,17:43:30,Product Page,view,299
J974808,C101270,P1015,31-05-2025,16:31:23,Homepage,view,281
J993343,C100520,P1012,08-11-2022,14:23:15,Checkout,drop off,30
J103006,C101586,P1018,16-07-2023,01:02:17,Checkout,purchase,359
J364514,C100973,P1024,24-03-2025,14:58:48,Checkout,drop off,202
J909274,C102291,P1020,21-08-2025,02:48:18,Homepage,view,83
J984466,C100679,P1003,01-06-2023,22:04:35,Product Page,view,116
J907831,C100143,P1012,27-09-2025,09:57:28,Homepage,view,62
J384514,C102162,P1016,08-12-2022,21:16:44,Checkout,purchase,245
J545798,C100881,P1009,21-09-2023,19:26:01,Checkout,drop off,284
J807867,C100564,P1001,17-05-2025,12:39:46,Checkout,drop off,189
J948561,C100960,P1002,08-08-2024,03:30:41,Checkout,drop off,302
J409911,C102858,P1021,20-12-2025,15:15:24,Homepage,view,98
J168568,C102964,P1013,29-08-2024,09:59:55,Product Page,view,83
J390745,C100972,P1001,13-04-2025,00:09:58,Product Page,view,315
J405035,C100119,P1015,28-01-2022,00:51:03,Product Page,view,178
J441145,C100090,P1009,02-05-2023,02:13:24,Homepage,view,58
J298370,C100110,P1006,06-02-2023,05:39:48,Product Page,view,217
J634295,C102823,P1014,07-04-2024,07:16:40,Checkout,drop off,174
J397371,C101049,P1003,06-06-2024,03:33:49,Homepage,view,84
J837643,C102118,P1014,20-08-2024,19:37:03,Product Page,view,173
J934596,C101840,P1024,17-09-2023,07:51:31,Product Page,view,396
J415118,C101817,P1024,18-05-2024,03:11:36,Checkout,drop off,185
J827725,C100586,P1002,25-12-2024,06:20:03,Checkout,drop off,252
J972741,C102492,P1007,16-05-2023,22:00:35,Product Page,view,210
J975170,C100338,P1017,03-09-2024,03:04:00,Homepage,view,343
J745663,C101058,P1016,09-09-2023,10:55:47,Homepage,view,220
J439890,C100238,P1025,21-01-2024,19:30:35,Homepage,view,49
J711207,C100009,P1010,02-07-2025,23:29:18,Homepage,view,346
J560657,C100846,P1011,23-11-2023,05:41:58,Homepage,view,213
J608422,C100142,P1014,15-05-2024,00:49:04,Homepage,view,89
J256412,C102269,P1017,16-08-2025,12:15:01,Checkout,drop off,290
J869370,C101585,P1017,19-06-2025,21:12:12,Checkout,drop off,164
J662086,C100194,P1007,01-08-2024,18:42:57,Checkout,drop off,229
J305316,C100291,P1002,29-12-2023,16:42:02,Checkout,drop off,104
