Engagement_ID,Content_ID,Content_Type,Likes,Engagement_Date,Campaign_ID,Product_ID,Views,Clicks
E2P1016,CT2P1016,Blog,122,03-01-2022,CAM2512,P1016,9314,327
E2P1017,CT2P1017,Video,167,03-01-2022,CAM3143,P1017,11925,535
E2P1018,CT2P1018,Social Media,99,03-01-2022,CAM8007,P1018,9280,230
E2P1019,CT2P1019,Social Media,92,03-01-2022,CAM3442,P1019,14173,287
E2P1020,CT2P1020,Social Media,120,03-01-2022,CAM3426,P1020,13922,293
E2P1021,CT2P1021,Blog,112,03-01-2022,CAM6862,P1021,12027,286
E2P1022,CT2P1022,Video,170,03-01-2022,CAM7658,P1022,8431,341
E2P1023,CT2P1023,Blog,133,03-01-2022,CAM3900,P1023,7523,359
E2P1024,CT2P1024,Video,126,03-01-2022,CAM7745,P1024,11742,243
E2P1025,CT2P1025,Blog,135,03-01-2022,CAM7267,P1025,9055,253
E3P1001,CT3P1001,Video,94,04-01-2022,CAM6728,P1001,5624,257
E3P1002,CT3P1002,Blog,249,04-01-2022,CAM1387,P1002,9983,445
E3P1003,CT3P1003,Blog,99,04-01-2022,CAM5573,P1003,8150,260
E3P1004,CT3P1004,Social Media,176,04-01-2022,CAM6425,P1004,10735,421
E3P1005,CT3P1005,Blog,75,04-01-2022,CAM5349,P1005,5443,127
E3P1006,CT3P1006,Social Media,55,04-01-2022,CAM6139,P1006,5616,130
E3P1007,CT3P1007,Video,209,04-01-2022,CAM4114,P1007,12129,463
E3P1008,CT3P1008,Social Media,84,04-01-2022,CAM9821,P1008,9157,195
E3P1009,CT3P1009,Social Media,81,04-01-2022,CAM6409,P1009,8214,254
E3P1010,CT3P1010,Video,136,04-01-2022,CAM9308,P1010,10126,404
E3P1011,CT3P1011,Social Media,159,04-01-2022,CAM5844,P1011,10050,402
E3P1012,CT3P1012,Video,142,04-01-2022,CAM3851,P1012,14059,334
E3P1013,CT3P1013,Blog,192,04-01-2022,CAM5978,P1013,14300,415
E3P1014,CT3P1014,Social Media,136,04-01-2022,CAM6279,P1014,9684,254
E3P1015,CT3P1015,Social Media,210,04-01-2022,CAM8752,P1015,12597,418
E3P1016,CT3P1016,Social Media,118,04-01-2022,CAM6491,P1016,7767,308
E3P1017,CT3P1017,Social Media,152,04-01-2022,CAM6085,P1017,6519,290
E3P1018,CT3P1018,Blog,131,04-01-2022,CAM5011,P1018,8665,382
E3P1019,CT3P1019,Video,259,04-01-2022,CAM7790,P1019,12762,489
E3P1020,CT3P1020,Video,189,04-01-2022,CAM7547,P1020,14407,372
E3P1021,CT3P1021,Blog,110,04-01-2022,CAM7965,P1021,8982,219
E3P1022,CT3P1022,Social Media,126,04-01-2022,CAM8611,P1022,8570,216
E3P1023,CT3P1023,Blog,122,04-01-2022,CAM8478,P1023,5812,213
E3P1024,CT3P1024,Social Media,157,04-01-2022,CAM6198,P1024,7172,315
E3P1025,CT3P1025,Social Media,241,04-01-2022,CAM7991,P1025,12230,469
E4P1001,CT4P1001,Video,161,05-01-2022,CAM8373,P1001,13945,465
E4P1002,CT4P1002,Video,216,05-01-2022,CAM9540,P1002,9225,392
E4P1003,CT4P1003,Blog,191,05-01-2022,CAM5681,P1003,12910,500
E4P1004,CT4P1004,Social Media,98,05-01-2022,CAM2320,P1004,8821,248
E4P1005,CT4P1005,Blog,73,05-01-2022,CAM4505,P1005,7251,177
E4P1006,CT4P1006,Video,77,05-01-2022,CAM7812,P1006,6038,195
E4P1007,CT4P1007,Social Media,66,05-01-2022,CAM1320,P1007,6006,157
E4P1008,CT4P1008,Video,136,05-01-2022,CAM5892,P1008,14400,452
E4P1009,CT4P1009,Video,303,05-01-2022,CAM9818,P1009,11364,518
E4P1010,CT4P1010,Video,348,05-01-2022,CAM4595,P1010,13916,612
E4P1011,CT4P1011,Video,96,05-01-2022,CAM7624,P1011,9450,312
E4P1012,CT4P1012,Social Media,199,05-01-2022,CAM9751,P1012,7687,347
E4P1013,CT4P1013,Social Media,122,05-01-2022,CAM1444,P1013,5429,256
E4P1014,CT4P1014,Video,84,05-01-2022,CAM3977,P1014,6361,249
E4P1015,CT4P1015,Video,64,05-01-2022,CAM6355,P1015,5810,161
E4P1016,CT4P1016,Video,186,05-01-2022,CAM5133,P1016,10505,450
E4P1017,CT4P1017,Blog,112,05-01-2022,CAM6733,P1017,6327,215
E4P1018,CT4P1018,Social Media,182,05-01-2022,CAM1659,P1018,8654,341
E4P1019,CT4P1019,Blog,95,05-01-2022,CAM3496,P1019,5495,266
E4P1020,CT4P1020,Social Media,105,05-01-2022,CAM4571,P1020,8888,211
E4P1021,CT4P1021,Blog,273,05-01-2022,CAM2876,P1021,12591,516
E4P1022,CT4P1022,Blog,124,05-01-2022,CAM6111,P1022,7666,375
E4P1023,CT4P1023,Video,340,05-01-2022,CAM4249,P1023,14401,580
E4P1024,CT4P1024,Blog,129,05-01-2022,CAM2669,P1024,6231,235
E4P1025,CT4P1025,Blog,216,05-01-2022,CAM1672,P1025,9919,451
E5P1001,CT5P1001,Blog,190,06-01-2022,CAM9289,P1001,10658,383
E5P1002,CT5P1002,Video,91,06-01-2022,CAM2729,P1002,10561,215
E5P1003,CT5P1003,Video,289,06-01-2022,CAM3506,P1003,12068,589
E5P1004,CT5P1004,Social Media,139,06-01-2022,CAM5425,P1004,12101,305
E5P1005,CT5P1005,Social Media,261,06-01-2022,CAM5397,P1005,13779,595
E5P1006,CT5P1006,Blog,255,06-01-2022,CAM5569,P1006,10251,466
E5P1007,CT5P1007,Social Media,148,06-01-2022,CAM7209,P1007,12351,337
E5P1008,CT5P1008,Blog,121,06-01-2022,CAM8988,P1008,10482,218
E5P1009,CT5P1009,Video,97,06-01-2022,CAM5526,P1009,8451,258
E5P1010,CT5P1010,Blog,166,06-01-2022,CAM4954,P1010,14067,285
E5P1011,CT5P1011,Social Media,212,06-01-2022,CAM8800,P1011,11626,402
E5P1012,CT5P1012,Video,132,06-01-2022,CAM4630,P1012,13005,434
E5P1013,CT5P1013,Social Media,184,06-01-2022,CAM7046,P1013,11593,472
E5P1014,CT5P1014,Social Media,187,06-01-2022,CAM6419,P1014,12718,465
E5P1015,CT5P1015,Video,168,06-01-2022,CAM4777,P1015,10734,441
E5P1016,CT5P1016,Social Media,114,06-01-2022,CAM9779,P1016,6956,289
E5P1017,CT5P1017,Video,107,06-01-2022,CAM9595,P1017,8011,206
E5P1018,CT5P1018,Blog,138,06-01-2022,CAM5853,P1018,14736,419
E5P1019,CT5P1019,Social Media,104,06-01-2022,CAM9751,P1019,8703,268
E5P1020,CT5P1020,Social Media,117,06-01-2022,CAM5786,P1020,7053,199
E5P1021,CT5P1021,Blog,144,06-01-2022,CAM1200,P1021,7048,275
E5P1022,CT5P1022,Video,181,06-01-2022,CAM4020,P1022,14365,409
E5P1023,CT5P1023,Blog,89,06-01-2022,CAM2070,P1023,5825,160
E5P1024,CT5P1024,Social Media,189,06-01-2022,CAM1878,P1024,11533,400
E5P1025,CT5P1025,Video,85,06-01-2022,CAM2395,P1025,7464,182
E6P1001,CT6P1001,Social Media,112,07-01-2022,CAM4697,P1001,9036,212
E6P1002,CT6P1002,Video,242,07-01-2022,CAM8025,P1002,13516,424
E6P1003,CT6P1003,Social Media,117,07-01-2022,CAM2625,P1003,9970,369
E6P1004,CT6P1004,Blog,122,07-01-2022,CAM3573,P1004,8376,324
E6P1005,CT6P1005,Blog,72,07-01-2022,CAM7693,P1005,8899,224
E6P1006,CT6P1006,Blog,221,07-01-2022,CAM4792,P1006,12340,502
E6P1007,CT6P1007,Video,203,07-01-2022,CAM2166,P1007,9688,399
E6P1008,CT6P1008,Social Media,224,07-01-2022,CAM4241,P1008,8795,419
E6P1009,CT6P1009,Blog,102,07-01-2022,CAM5352,P1009,11925,279
E6P1010,CT6P1010,Video,56,07-01-2022,CAM5728,P1010,7305,161
E6P1011,CT6P1011,Social Media,145,07-01-2022,CAM7594,P1011,12154,288
E6P1012,CT6P1012,Blog,147,07-01-2022,CAM1653,P1012,9428,330
E6P1013,CT6P1013,Blog,243,07-01-2022,CAM2496,P1013,12038,506
E6P1014,CT6P1014,Social Media,234,07-01-2022,CAM1339,P1014,8721,426
E6P1015,CT6P1015,Blog,184,07-01-2022,CAM8708,P1015,9384,349
E6P1016,CT6P1016,Blog,305,07-01-2022,CAM8141,P1016,13457,532
E6P1017,CT6P1017,Video,281,07-01-2022,CAM6460,P1017,13013,638
E6P1018,CT6P1018,Video,228,07-01-2022,CAM7744,P1018,10226,410
E6P1019,CT6P1019,Social Media,218,07-01-2022,CAM1601,P1019,13073,374
E6P1020,CT6P1020,Blog,105,07-01-2022,CAM7622,P1020,12410,280
E6P1021,CT6P1021,Social Media,179,07-01-2022,CAM8569,P1021,13386,598
E6P1022,CT6P1022,Social Media,115,07-01-2022,CAM9167,P1022,11731,253
E6P1023,CT6P1023,Social Media,188,07-01-2022,CAM3146,P1023,12201,522
E6P1024,CT6P1024,Blog,163,07-01-2022,CAM1472,P1024,9687,321
E6P1025,CT6P1025,Video,336,07-01-2022,CAM1224,P1025,14925,656
E7P1001,CT7P1001,Blog,165,08-01-2022,CAM8560,P1001,13994,451
E7P1002,CT7P1002,Social Media,93,08-01-2022,CAM5781,P1002,6897,271
E7P1003,CT7P1003,Video,231,08-01-2022,CAM8736,P1003,13285,546
E7P1004,CT7P1004,Blog,103,08-01-2022,CAM9327,P1004,8958,301
E7P1005,CT7P1005,Video,126,08-01-2022,CAM6568,P1005,7208,330
E7P1006,CT7P1006,Social Media,111,08-01-2022,CAM5891,P1006,13266,371
E7P1007,CT7P1007,Blog,270,08-01-2022,CAM8316,P1007,14559,544
E7P1008,CT7P1008,Social Media,189,08-01-2022,CAM7180,P1008,13771,475
E7P1009,CT7P1009,Social Media,333,08-01-2022,CAM4912,P1009,12412,595
E7P1010,CT7P1010,Video,250,08-01-2022,CAM1715,P1010,14312,450
E7P1011,CT7P1011,Video,219,08-01-2022,CAM7325,P1011,10173,430
E7P1012,CT7P1012,Social Media,80,08-01-2022,CAM6439,P1012,7463,260
E7P1013,CT7P1013,Social Media,131,08-01-2022,CAM8486,P1013,6618,305
E7P1014,CT7P1014,Social Media,91,08-01-2022,CAM3529,P1014,5230,217
E7P1015,CT7P1015,Video,124,08-01-2022,CAM7512,P1015,6201,211
E7P1016,CT7P1016,Social Media,158,08-01-2022,CAM7226,P1016,6290,286
E7P1017,CT7P1017,Video,222,08-01-2022,CAM9864,P1017,10148,393
E7P1018,CT7P1018,Social Media,79,08-01-2022,CAM5708,P1018,5566,214
E7P1019,CT7P1019,Blog,158,08-01-2022,CAM2646,P1019,8693,368
E7P1020,CT7P1020,Blog,118,08-01-2022,CAM1753,P1020,12221,305
E7P1021,CT7P1021,Video,174,08-01-2022,CAM8056,P1021,10274,450
E7P1022,CT7P1022,Social Media,85,08-01-2022,CAM3950,P1022,7356,201
E7P1023,CT7P1023,Video,94,08-01-2022,CAM4945,P1023,7755,195
E7P1024,CT7P1024,Video,212,08-01-2022,CAM5161,P1024,13102,620
E7P1025,CT7P1025,Video,104,08-01-2022,CAM5712,P1025,12480,345
E8P1001,CT8P1001,Video,148,09-01-2022,CAM5901,P1001,13893,343
E8P1002,CT8P1002,Video,211,09-01-2022,CAM4263,P1002,11898,484
E8P1003,CT8P1003,Video,170,09-01-2022,CAM6881,P1003,11252,513
E8P1004,CT8P1004,Blog,211,09-01-2022,CAM7484,P1004,14353,414
E8P1005,CT8P1005,Social Media,106,09-01-2022,CAM1803,P1005,9455,191
E8P1006,CT8P1006,Video,345,09-01-2022,CAM4770,P1006,14869,629
E8P1007,CT8P1007,Blog,239,09-01-2022,CAM5106,P1007,14880,655
E8P1008,CT8P1008,Social Media,159,09-01-2022,CAM1645,P1008,7208,280
E8P1009,CT8P1009,Video,135,09-01-2022,CAM3153,P1009,10016,437
E8P1010,CT8P1010,Video,120,09-01-2022,CAM3877,P1010,6447,304
E8P1011,CT8P1011,Video,90,09-01-2022,CAM9697,P1011,8252,197
E8P1012,CT8P1012,Video,342,09-01-2022,CAM8894,P1012,13163,623
E8P1013,CT8P1013,Blog,166,09-01-2022,CAM8673,P1013,9791,415
E8P1014,CT8P1014,Social Media,88,09-01-2022,CAM7511,P1014,6205,150
E8P1015,CT8P1015,Blog,233,09-01-2022,CAM5332,P1015,14069,435
E8P1016,CT8P1016,Social Media,133,09-01-2022,CAM5295,P1016,13730,325
E8P1017,CT8P1017,Video,224,09-01-2022,CAM2775,P1017,14513,456
E8P1018,CT8P1018,Social Media,145,09-01-2022,CAM6374,P1018,8791,300
E8P1019,CT8P1019,Video,126,09-01-2022,CAM5951,P1019,14929,397
E8P1020,CT8P1020,Blog,85,09-01-2022,CAM5986,P1020,11637,273
E8P1021,CT8P1021,Social Media,112,09-01-2022,CAM3222,P1021,13013,305
E8P1022,CT8P1022,Social Media,190,09-01-2022,CAM9850,P1022,11317,380
E8P1023,CT8P1023,Video,229,09-01-2022,CAM2622,P1023,11814,444
E8P1024,CT8P1024,Video,289,09-01-2022,CAM1536,P1024,12959,498
E8P1025,CT8P1025,Blog,126,09-01-2022,CAM6942,P1025,11021,292
E9P1001,CT9P1001,Social Media,133,10-01-2022,CAM6876,P1001,6594,325
E9P1002,CT9P1002,Blog,67,10-01-2022,CAM8450,P1002,5962,190
E9P1003,CT9P1003,Social Media,126,10-01-2022,CAM1349,P1003,6468,257
E9P1004,CT9P1004,Blog,94,10-01-2022,CAM4362,P1004,5799,252
E9P1005,CT9P1005,Social Media,127,10-01-2022,CAM4538,P1005,6093,273
E9P1006,CT9P1006,Social Media,89,10-01-2022,CAM1046,P1006,8773,261
E9P1007,CT9P1007,Blog,149,10-01-2022,CAM9850,P1007,9494,434
E9P1008,CT9P1008,Blog,132,10-01-2022,CAM3159,P1008,9061,398
E9P1009,CT9P1009,Social Media,85,10-01-2022,CAM6304,P1009,5217,160
E9P1010,CT9P1010,Social Media,41,10-01-2022,CAM7897,P1010,5232,131
E9P1011,CT9P1011,Video,101,10-01-2022,CAM6931,P1011,13551,317
E9P1012,CT9P1012,Blog,219,10-01-2022,CAM1710,P1012,13341,504
E9P1013,CT9P1013,Blog,192,10-01-2022,CAM1996,P1013,13476,391
E9P1014,CT9P1014,Blog,248,10-01-2022,CAM9032,P1014,12783,580
E9P1015,CT9P1015,Social Media,87,10-01-2022,CAM3430,P1015,12206,271
E9P1016,CT9P1016,Social Media,69,10-01-2022,CAM9984,P1016,6046,143
E9P1017,CT9P1017,Video,154,10-01-2022,CAM8433,P1017,10276,322
E9P1018,CT9P1018,Social Media,166,10-01-2022,CAM2874,P1018,13216,504
E9P1019,CT9P1019,Video,211,10-01-2022,CAM4743,P1019,13963,581
E9P1020,CT9P1020,Video,153,10-01-2022,CAM2557,P1020,11720,353
E9P1021,CT9P1021,Video,164,10-01-2022,CAM3500,P1021,10070,330
E9P1022,CT9P1022,Blog,153,10-01-2022,CAM8075,P1022,12707,279
E9P1023,CT9P1023,Blog,114,10-01-2022,CAM1982,P1023,6549,277
E9P1024,CT9P1024,Social Media,331,10-01-2022,CAM3002,P1024,14536,707
E9P1025,CT9P1025,Video,178,10-01-2022,CAM1842,P1025,11672,357
E10P1001,CT10P1001,Social Media,148,11-01-2022,CAM9313,P1001,9658,367
E10P1002,CT10P1002,Blog,92,11-01-2022,CAM6736,P1002,8438,207
E10P1003,CT10P1003,Social Media,230,11-01-2022,CAM4705,P1003,14035,435
E10P1004,CT10P1004,Social Media,321,11-01-2022,CAM1430,P1004,11964,542
E10P1005,CT10P1005,Video,391,11-01-2022,CAM1474,P1005,14894,713
E10P1006,CT10P1006,Video,117,11-01-2022,CAM6751,P1006,7911,223
E10P1007,CT10P1007,Social Media,44,11-01-2022,CAM7566,P1007,5072,129
E10P1008,CT10P1008,Blog,72,11-01-2022,CAM2503,P1008,6106,148
E10P1009,CT10P1009,Video,153,11-01-2022,CAM3578,P1009,13616,360
E10P1010,CT10P1010,Social Media,127,11-01-2022,CAM2391,P1010,11001,322
E10P1011,CT10P1011,Blog,75,11-01-2022,CAM2336,P1011,5828,143
E10P1012,CT10P1012,Social Media,133,11-01-2022,CAM8242,P1012,9406,313
E10P1013,CT10P1013,Blog,173,11-01-2022,CAM6655,P1013,11720,330
E10P1014,CT10P1014,Social Media,140,11-01-2022,CAM8972,P1014,11977,279
E10P1015,CT10P1015,Video,169,11-01-2022,CAM1897,P1015,13558,542
E10P1016,CT10P1016,Blog,77,11-01-2022,CAM5186,P1016,5096,133
E10P1017,CT10P1017,Social Media,87,11-01-2022,CAM8055,P1017,9688,289
E10P1018,CT10P1018,Blog,85,11-01-2022,CAM9196,P1018,7834,187
E10P1019,CT10P1019,Blog,342,11-01-2022,CAM7505,P1019,14076,633
E10P1020,CT10P1020,Blog,81,11-01-2022,CAM6129,P1020,5661,187
E10P1021,CT10P1021,Social Media,198,11-01-2022,CAM7843,P1021,14353,471
E10P1022,CT10P1022,Video,69,11-01-2022,CAM3815,P1022,9689,227
E10P1023,CT10P1023,Blog,322,11-01-2022,CAM8155,P1023,12469,560
E10P1024,CT10P1024,Social Media,86,11-01-2022,CAM2288,P1024,6697,182
E10P1025,CT10P1025,Blog,275,11-01-2022,CAM6456,P1025,11421,526
E11P1001,CT11P1001,Social Media,83,12-01-2022,CAM9355,P1001,7707,171
E11P1002,CT11P1002,Social Media,155,12-01-2022,CAM3419,P1002,8126,383
E11P1003,CT11P1003,Blog,76,12-01-2022,CAM3504,P1003,8817,203
E11P1004,CT11P1004,Video,82,12-01-2022,CAM8601,P1004,6196,156
E11P1005,CT11P1005,Social Media,262,12-01-2022,CAM6295,P1005,14150,605
E11P1006,CT11P1006,Video,79,12-01-2022,CAM5961,P1006,10117,248
E11P1007,CT11P1007,Blog,144,12-01-2022,CAM6085,P1007,9442,356
E11P1008,CT11P1008,Video,132,12-01-2022,CAM2257,P1008,12489,419
E11P1009,CT11P1009,Video,111,12-01-2022,CAM1672,P1009,6439,247
E11P1010,CT11P1010,Blog,273,12-01-2022,CAM6267,P1010,12293,581
E11P1011,CT11P1011,Blog,175,12-01-2022,CAM8381,P1011,14822,507
E11P1012,CT11P1012,Social Media,162,12-01-2022,CAM2381,P1012,6654,294
E11P1013,CT11P1013,Social Media,161,12-01-2022,CAM8172,P1013,13186,519
E11P1014,CT11P1014,Video,209,12-01-2022,CAM7108,P1014,12125,433
E11P1015,CT11P1015,Social Media,160,12-01-2022,CAM1857,P1015,9575,302
E11P1016,CT11P1016,Social Media,74,12-01-2022,CAM7333,P1016,10418,228
E11P1017,CT11P1017,Social Media,146,12-01-2022,CAM3463,P1017,9596,264
E11P1018,CT11P1018,Video,116,12-01-2022,CAM6082,P1018,10397,233
E11P1019,CT11P1019,Blog,138,12-01-2022,CAM6072,P1019,11352,270
E11P1020,CT11P1020,Blog,236,12-01-2022,CAM9624,P1020,14071,440
E11P1021,CT11P1021,Video,108,12-01-2022,CAM1298,P1021,6491,255
E11P1022,CT11P1022,Video,186,12-01-2022,CAM8967,P1022,10874,318
E11P1023,CT11P1023,Blog,73,12-01-2022,CAM5846,P1023,8095,216
E11P1024,CT11P1024,Social Media,107,12-01-2022,CAM9626,P1024,6616,233
E11P1025,CT11P1025,Social Media,124,12-01-2022,CAM3147,P1025,5584,222
E12P1001,CT12P1001,Social Media,160,13-01-2022,CAM3712,P1001,14687,459
E12P1002,CT12P1002,Social Media,105,13-01-2022,CAM4891,P1002,12090,257
E12P1003,CT12P1003,Video,245,13-01-2022,CAM4833,P1003,12196,467
E12P1004,CT12P1004,Video,218,13-01-2022,CAM4178,P1004,13658,371
E12P1005,CT12P1005,Video,207,13-01-2022,CAM8564,P1005,10953,441
E12P1006,CT12P1006,Video,186,13-01-2022,CAM3655,P1006,9552,414
E12P1007,CT12P1007,Video,123,13-01-2022,CAM1854,P1007,8216,361
E12P1008,CT12P1008,Blog,275,13-01-2022,CAM9452,P1008,12788,591
E12P1009,CT12P1009,Video,105,13-01-2022,CAM8361,P1009,6995,199
E12P1010,CT12P1010,Blog,140,13-01-2022,CAM8391,P1010,13321,325
E12P1011,CT12P1011,Video,216,13-01-2022,CAM9224,P1011,10656,510
E12P1012,CT12P1012,Video,178,13-01-2022,CAM4678,P1012,11052,299
E12P1013,CT12P1013,Social Media,52,13-01-2022,CAM6493,P1013,5425,160
E12P1014,CT12P1014,Video,68,13-01-2022,CAM3273,P1014,7343,177
E12P1015,CT12P1015,Blog,126,13-01-2022,CAM1311,P1015,12601,421
E12P1016,CT12P1016,Social Media,83,13-01-2022,CAM9647,P1016,9132,241
E12P1017,CT12P1017,Video,106,13-01-2022,CAM2996,P1017,11855,276
E12P1018,CT12P1018,Social Media,76,13-01-2022,CAM8489,P1018,5744,155
E12P1019,CT12P1019,Social Media,79,13-01-2022,CAM9782,P1019,5989,139
E12P1020,CT12P1020,Social Media,95,13-01-2022,CAM3352,P1020,5234,203
E12P1021,CT12P1021,Blog,154,13-01-2022,CAM7825,P1021,9707,319
E12P1022,CT12P1022,Video,104,13-01-2022,CAM2108,P1022,8014,320
E12P1023,CT12P1023,Social Media,263,13-01-2022,CAM1333,P1023,13528,491
E12P1024,CT12P1024,Video,163,13-01-2022,CAM7116,P1024,11322,523
E12P1025,CT12P1025,Blog,156,13-01-2022,CAM6649,P1025,9094,385
E13P1001,CT13P1001,Social Media,182,14-01-2022,CAM6447,P1001,8886,373
E13P1002,CT13P1002,Social Media,70,14-01-2022,CAM3868,P1002,7133,152
E13P1003,CT13P1003,Blog,274,14-01-2022,CAM3209,P1003,12522,618
E13P1004,CT13P1004,Blog,144,14-01-2022,CAM5807,P1004,5990,248
E13P1005,CT13P1005,Blog,62,14-01-2022,CAM6170,P1005,8242,175
E13P1006,CT13P1006,Social Media,211,14-01-2022,CAM8756,P1006,10008,354
E13P1007,CT13P1007,Video,94,14-01-2022,CAM6848,P1007,9084,191
E13P1008,CT13P1008,Blog,105,14-01-2022,CAM7029,P1008,5741,263
E13P1009,CT13P1009,Video,294,14-01-2022,CAM6554,P1009,12072,563
E13P1010,CT13P1010,Social Media,125,14-01-2022,CAM5369,P1010,8002,279
E13P1011,CT13P1011,Social Media,85,14-01-2022,CAM3956,P1011,6307,263
E13P1012,CT13P1012,Video,131,14-01-2022,CAM5843,P1012,13837,398
E13P1013,CT13P1013,Blog,171,14-01-2022,CAM8272,P1013,9949,332
